t_sec,phase,total_python_rss_mb,command_centre_rss_mb,triage_rss_mb,gateway_rss_mb,traffic_rss_mb,python_proc_count
3.08,warmup,375.496,15.941,11.312,nan,nan,70
7.04,burst,419.113,16.297,11.312,nan,4.031,72
10.86,burst,460.0,16.539,11.316,nan,4.031,72
15.06,burst,463.551,16.574,11.32,nan,4.031,72
18.87,burst,465.324,16.586,11.77,nan,4.031,72
22.72,burst,491.922,16.598,27.16,nan,4.031,72
25.85,burst,492.488,16.602,27.387,nan,4.031,72
28.87,burst,492.996,16.605,27.551,nan,4.031,72
31.92,burst,492.984,16.605,27.766,nan,4.031,72
35.21,burst,494.211,16.605,28.758,nan,4.008,72
38.42,burst,494.934,16.609,28.93,nan,4.008,72
41.83,burst,499.387,16.609,37.133,nan,4.008,72
46.13,burst,539.508,16.734,46.027,nan,4.008,72
56.12,burst,550.023,16.738,52.355,nan,3.504,72
66.63,burst,362.516,15.23,31.855,nan,0.367,72
71.71,burst,320.953,15.465,32.762,nan,0.367,72
77.31,burst,329.301,15.492,33.652,nan,0.367,72
82.63,burst,399.93,16.227,40.301,nan,0.367,72
88.61,sustained,406.543,16.434,40.402,nan,4.02,72
95.34,sustained,400.754,15.871,26.555,nan,2.805,72
100.63,sustained,309.285,13.617,14.871,nan,0.824,72
104.5,sustained,258.777,14.07,14.508,nan,0.215,72
107.3,sustained,274.965,14.102,23.367,nan,0.215,72
110.22,sustained,285.043,14.875,27.559,nan,0.215,72
112.99,sustained,292.496,14.961,28.082,nan,0.344,72
115.94,sustained,295.66,15.008,32.328,nan,0.344,72
118.52,sustained,301.93,15.035,33.441,nan,0.344,72
122.06,sustained,309.156,15.098,39.414,nan,0.344,72
124.4,sustained,291.785,15.156,39.711,nan,0.242,72
126.91,sustained,294.738,15.156,40.914,nan,0.242,72
129.39,sustained,299.855,15.156,41.973,nan,0.242,72
131.99,sustained,309.637,15.184,44.766,nan,0.242,72
136.28,sustained,402.945,15.551,72.578,nan,0.242,72
140.92,sustained,470.695,15.832,73.629,nan,0.242,72
143.8,sustained,482.902,15.906,74.422,nan,0.242,72
147.65,sustained,507.078,15.934,74.973,nan,0.242,72
151.33,sustained,523.691,15.941,75.977,nan,0.242,72
154.79,sustained,524.711,15.941,76.02,nan,0.242,72
159.07,sustained,520.023,15.941,70.508,nan,0.242,72
162.45,sustained,523.863,15.941,72.422,nan,0.242,72
166.36,sustained,526.082,16.07,73.707,nan,0.242,72
170.78,sustained,507.332,16.07,74.16,nan,nan,71
174.93,cooldown,455.656,16.07,74.168,nan,nan,70
178.86,cooldown,455.641,16.07,74.172,nan,nan,70
